主期,周涨,PR,HR,WXAB,波型,柱排周,盈提示,WXCD,ZA周,ZC周,周龄,周键
2026/4/24,-27.59,-27.59,0.06,z丁↘忑-1.Y,5蛀.__Aa龙猪._初,错.未赋值,,屎降z↘,-1,-1,1,True
2026/4/30,-11.24,-11.24,-0.5,z丁↘忑-2.Z-2,5蛀.__Aa龙猪._初,跌.尾连vW.W2,,屎降z↘,-2,-2,2,True
2026/5/8,8.74,8.74,10.29,z丁↘忑-3.Z-3,5蛀.__Fa震正〇._初,跌.尾反孕Wo,,屎降z↘,-3,-3,3,True
2026/5/15,-6.81,-6.81,0.71,z丁↘忑-4.Z-4,9妩.__Fa震正〇._初,(跌)人.孕孕ov,,屎降z↘,-4,-4,4,True
2026/5/22,-3.61,-3.61,6.84,z丁↘忑-5.Z-5,9妩.__Fa震正〇._主,跌.尾连vW.W2,,屎降z↘,-5,-5,5,True
2026/5/29,-7.01,-7.01,0.66,z丁↘忑-6.Z-6,9妩.__Fa震正〇._主,跌.尾连WW.W3,,屎降z↘,-6,-6,6,True
2026/6/5,-4.79,-4.79,1.61,z丁↘忑-7.Z-7,9妩.__Fa震正〇._主,跌.尾连WW.W4,,屎降z↘,-7,-7,7,True
2026/6/12,-4.23,-4.23,0,z丁↘忑-8.Z-8,9妩.__Fa震正〇._主,跌.尾连WW.W5,,屎降z↘,-8,-8,8,True
2026/6/18,2.13,2.13,6.19,z丁↘忑-9.Z-9,9妩.__Fa震正〇._主,跌.尾反孕Wo,,屎降z↘,-9,-9,9,True
2026/6/26,-4.94,-4.94,3.05,z丁↘忑-10.Z-10,9妩.__Aa龙猪._主,跌.尾吞oV,,屎降z↘,-10,-10,10,True
2026/7/3,4.12,4.12,6.8,z丁↘忑-11.Z-11,9妩.__Aa龙猪._主,跌.尾反孕oVo,,屎降z↘,-11,-11,11,True
2026/7/10,-7.05,-7.05,1.7,z丁↘忑-12.Z-12,9妩.__Aa龙猪._主,跌.尾吞oV,,屎降z↘,-12,-12,12,True
