主期,周涨,PR,HR,WXAB,波型,柱排周,盈提示,WXCD,ZA周,ZC周,周龄,周键
2026/4/24,8.42,8.42,16.69,a甲↗上1.I,4蛀.Aa龙猪.初,错.未赋值.Q1,高,金升a↗.4蛀.Aa龙猪.初,1,1,1,True
2026/4/30,29.33,29.33,32.67,a甲↗上2.B2,4蛀.Aa龙猪.初,升.尾连QQ.Q2,宽高,金升a↗.4蛀.Aa龙猪.初,2,2,2,True
2026/5/8,10.23,10.23,13.61,a甲↗上3.B3,4蛀.Aa龙猪.初,升.尾连QQ.Q3,宽连3,金升a↗.4蛀.Aa龙猪.初,3,3,3,True
2026/5/15,2.72,2.72,9.22,a甲↗上4.A4,0橅.Aa龙猪.初,升.尾连QQ.Q4,宽连4,金升a↗.0橅.Aa龙猪.初,4,4,4,True
2026/5/22,50,50,50,a甲↗上5.A5,0橅.Aa龙猪.主,升.尾连QQ.Q5,宽高连5,金升a↗.0橅.Aa龙猪.主,5,5,5,True
2026/5/29,-2,-2,9.4,a甲↗上6.A6,0橅.Aa龙猪.主,升.尾反孕Qv,宽,金升a↗.0橅.Aa龙猪.主,6,6,6,True
2026/6/5,24.71,24.71,35.06,a甲↗上7.A7,0橅.Aa龙猪.主,升.尾吞vO,宽高,金升a↗.0橅.Aa龙猪.主,7,7,7,True
2026/6/12,-3.08,-3.08,9.56,a甲↗上8.A8,0橅.Aa龙猪.主,升.尾反孕vOv,宽,金升a↗.0橅.Aa龙猪.主,8,8,8,True
2026/6/18,14.14,14.14,19.19,a甲↗上9.A9,0橅.Aa龙猪.主,升.尾吞vO,宽高,金升a↗.0橅.Aa龙猪.主,9,9,9,True
2026/6/26,-3.08,-3.08,17.06,a甲↗上10.A10,0橅.Aa龙猪.主,升.尾反孕vOv,宽高,金升a↗.0橅.Aa龙猪.主,10,10,10,True
2026/7/3,-1.3,-1.3,5.78,a甲↗上11.A11,2栅.Bc龙管栅.主,跌.尾连vW.W2,宽,金升a↗.2栅.Bc龙管栅.主,11,11,11,True
2026/7/10,-8.15,-8.15,5.07,a甲↗上12.A12,3桮.Bb龙管杂.主,跌.尾连WW.W3,宽,金升a↗.3桮.Bb龙管杂.主,12,12,12,True
